study,AUC_with_Aero,AUC_without_Aero
Br,0.5755323020928116,0.5626842584167424
Fe,0.5400987654320988,0.6342716049382716
Ki,0.5826941176470589,0.5968352941176471
St,0.4681632653061224,0.4643061224489796
Di,0.4896551724137931,0.5788401253918496
El,0.47576042748355823,0.490336188992731
Bl,0.4086600000000001,0.43767999999999996
SC,0.46185185185185185,0.6238888888888889
Su,0.5016620498614959,0.5785318559556787
Ta,0.4719161531956023,0.48861453425154044
UC,0.5370731707317074,0.5839467849223947
